Cuisine,restaurants,avg_rating,avg_cost,total_votes,delivery_pct
North Indian,3946,3.2918414918414918,692.3477157360406,591053,28.839330968068932
Chinese,2688,3.267945718296678,700.7345264727815,351402,32.84970238095239
Fast Food,1963,3.2500649350649353,437.13047910295614,180463,33.57106469689251
Mughlai,991,3.2675094816687738,728.3753784056508,150713,40.06054490413724
Bakery,725,3.3666666666666667,397.4068965517241,54421,25.79310344827586
Continental,724,3.6967976710334787,1277.8472222222222,282505,29.696132596685082
Italian,682,3.7071428571428573,1194.6244477172313,300431,41.05571847507331
South Indian,631,3.2325,480.459587955626,79772,21.553090332805073
Cafe,627,3.6252236135957068,694.9519230769231,159432,29.82456140350877
Desserts,597,3.5045174537987682,430.4865771812081,78904,33.33333333333333
Street Food,554,3.266329113924051,263.77938517179024,42180,13.537906137184116
Mithai,380,3.139442231075697,257.63157894736844,19647,9.736842105263158
Pizza,313,3.2423076923076923,705.9105431309904,57414,39.936102236421725
American,225,3.5541666666666667,1023.3333333333334,120146,55.55555555555556
Ice Cream,216,3.4132075471698116,299.16279069767444,12808,31.944444444444443
Beverages,215,3.484049079754601,365.42056074766356,18647,21.3953488372093
Thai,205,3.6905,1300.4878048780488,57573,52.19512195121951
Asian,186,3.848618784530387,1454.5698924731182,87019,35.483870967741936
Biryani,175,3.389516129032258,501.7142857142857,17887,44.0
Burger,165,3.522875816993464,567.5757575757576,45240,67.27272727272727
Healthy Food,146,3.3398496240601503,522.7397260273973,14702,69.86301369863014
Mexican,130,3.825806451612903,1053.4883720930231,57053,38.46153846153847
European,119,3.911965811965812,1932.3529411764705,90621,21.008403361344538
Raw Meats,114,3.0675,350.87719298245617,1945,6.140350877192982
Finger Food,109,3.495049504950495,1889.4495412844037,33448,8.256880733944955
Salad,92,3.218888888888889,559.2391304347826,10279,78.26086956521739
Mediterranean,90,3.9752808988764046,1555.5555555555557,73073,30.0
Japanese,82,3.655555555555556,1818.9024390243903,19817,41.46341463414634
Seafood,81,3.7756410256410255,1383.3333333333333,33570,32.098765432098766
Lebanese,65,3.6180327868852458,960.0,22919,47.69230769230769
Tea,44,3.6151515151515152,478.40909090909093,8494,63.63636363636363
Tibetan,44,3.3766666666666665,543.1818181818181,4593,25.0
Bengali,29,3.488,686.2068965517242,7883,48.275862068965516
Juices,26,3.65,413.46153846153845,2034,46.15384615384615
Hyderabadi,25,3.641666666666667,832.0,5203,68.0
Kerala,22,3.8,931.8181818181819,5634,22.727272727272727
Sushi,21,3.8476190476190473,2171.4285714285716,3511,52.38095238095239
Rajasthani,20,3.6882352941176473,875.0,7484,25.0
Kashmiri,20,3.4529411764705884,1020.0,3081,35.0
Arabian,20,3.6588235294117646,930.0,4586,55.00000000000001
Goan,19,3.952631578947368,1131.578947368421,10944,21.052631578947366
Malaysian,18,3.744444444444445,1963.888888888889,3732,55.55555555555556
Modern Indian,16,4.28125,1956.25,14581,12.5
Tex-Mex,16,3.86875,1831.25,15315,62.5
Korean,16,3.6866666666666665,1878.125,2318,31.25
Vietnamese,14,3.8285714285714287,1757.142857142857,2806,50.0
Lucknowi,13,3.4444444444444446,826.9230769230769,1902,30.76923076923077
Middle Eastern,13,3.869230769230769,1865.3846153846155,5897,61.53846153846154
French,12,3.8818181818181814,1895.8333333333333,4266,8.333333333333332
Gujarati,11,3.69,704.5454545454545,3849,18.181818181818183
Awadhi,11,3.46,886.3636363636364,732,9.090909090909092
Afghani,11,3.12,618.1818181818181,192,9.090909090909092
Chettinad,11,3.6727272727272724,1181.8181818181818,6778,0.0
Andhra,10,3.87,794.0,5946,10.0
Burmese,10,4.05,1600.0,3806,60.0
Maharashtrian,10,3.5700000000000003,460.0,1499,30.0
Nepalese,9,3.725,638.8888888888889,1144,22.22222222222222
North Eastern,8,3.6,743.75,601,0.0
Parsi,8,4.1,1125.0,6394,25.0
Naga,8,3.475,706.25,1026,25.0
Turkish,8,3.642857142857143,825.0,1135,75.0
Indian,7,3.75,616.6666666666666,118,14.285714285714285
Spanish,7,4.0285714285714285,1971.4285714285713,6384,14.285714285714285
Bihari,6,3.65,716.6666666666666,2785,50.0
Portuguese,6,3.8600000000000003,1133.3333333333333,4125,50.0
Indonesian,6,4.0,1308.3333333333333,1254,33.33333333333333
African,5,3.875,1240.0,4102,60.0
Moroccan,5,2.6999999999999997,1090.0,477,80.0
Greek,5,3.9200000000000004,1000.0,2698,20.0
Mangalorean,4,3.725,1062.5,1098,25.0
Charcoal Grill,4,4.175,1250.0,1163,0.0
Assamese,4,3.1999999999999997,500.0,418,25.0
Armenian,3,3.9,366.6666666666667,166,33.33333333333333
British,3,3.9,1633.3333333333333,2098,66.66666666666666
Iranian,3,4.066666666666666,1300.0,5374,0.0
Steak,2,4.05,1200.0,458,0.0
Oriya,2,3.25,525.0,308,50.0
Pakistani,2,3.8,1050.0,668,50.0
South American,2,3.5,3750.0,145,0.0
Sandwich,2,3.8,800.0,457,100.0
German,2,4.35,1250.0,2264,0.0
Drinks Only,2,3.5,2800.0,45,0.0
Cuisine Varies,1,,500.0,2,0.0
Cajun,1,3.6,500.0,84,0.0
Belgian,1,3.9,1700.0,231,0.0
BBQ,1,3.6,500.0,84,0.0
Malwani,1,3.5,400.0,77,0.0
Deli,1,3.8,1000.0,25,100.0
Persian,1,4.6,1200.0,177,0.0
Sri Lankan,1,4.0,6000.0,259,0.0
