Country Code,Country,Currency,Restaurant Count
1,India,Indian Rupees(Rs.),8652
216,United States,Dollar($),434
215,United Kingdom,Pounds(£),80
214,UAE,Emirati Diram(AED),60
189,South Africa,Rand(R),60
30,Brazil,Brazilian Real(R$),60
148,New Zealand,NewZealand($),40
208,Turkey,Turkish Lira(TL),34
14,Australia,Dollar($),24
162,Philippines,Botswana Pula(P),22
94,Indonesia,Indonesian Rupiah(IDR),21
166,Qatar,Qatari Rial(QR),20
191,Sri Lanka,Sri Lankan Rupee(LKR),20
184,Singapore,Dollar($),20
37,Canada,Dollar($),4
