Restaurant ID,Restaurant Name,Country Code,Country,City,Locality,Address,Longitude,Latitude,Geo Valid,Cuisines,Cuisine Count,Currency,Average Cost for two,Cost Band (INR),Price range,Price Range Label,Has Table booking,Has Online delivery,Is delivering now,Aggregate rating,Is Rated,Credible Rating,Rating text,Votes,Has Votes,Value Score
6317637,Le Petit Souffle,162,Philippines,Makati City,"Century City Mall, Poblacion, Makati City","Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",121.027535,14.565443,True,"French, Japanese, Desserts",3,Botswana Pula(P),1100.0,,3,3 - Premium,True,False,False,4.8,True,True,Excellent,314,True,
6304287,Izakaya Kikufuji,162,Philippines,Makati City,"Little Tokyo, Legaspi Village, Makati City","Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",121.014101,14.553708,True,Japanese,1,Botswana Pula(P),1200.0,,3,3 - Premium,True,False,False,4.5,True,True,Excellent,591,True,
6300002,Heat - Edsa Shangri-La,162,Philippines,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",121.056831,14.581404,True,"Seafood, Asian, Filipino, Indian",4,Botswana Pula(P),4000.0,,4,4 - Luxury,True,False,False,4.4,True,True,Very Good,270,True,
6318506,Ooma,162,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",121.056475,14.585318,True,"Japanese, Sushi",2,Botswana Pula(P),1500.0,,4,4 - Luxury,False,False,False,4.9,True,True,Excellent,365,True,
6314302,Sambo Kojin,162,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",121.057508,14.58445,True,"Japanese, Korean",2,Botswana Pula(P),1500.0,,4,4 - Luxury,True,False,False,4.8,True,True,Excellent,229,True,
18189371,Din Tai Fung,162,Philippines,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",121.056314,14.583764,True,Chinese,1,Botswana Pula(P),1000.0,,3,3 - Premium,False,False,False,4.4,True,True,Very Good,336,True,
6300781,Buffet 101,162,Philippines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",120.9796667,14.53133333,True,"Asian, European",2,Botswana Pula(P),2000.0,,4,4 - Luxury,True,False,False,4.0,True,True,Very Good,520,True,
6301290,Vikings,162,Philippines,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",120.9793333,14.54,True,"Seafood, Filipino, Asian, European",4,Botswana Pula(P),2000.0,,4,4 - Luxury,True,False,False,4.2,True,True,Very Good,677,True,
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Philippines,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",120.98009,14.55299,True,"European, Asian, Indian",3,Botswana Pula(P),6000.0,,4,4 - Luxury,True,False,False,4.9,True,True,Excellent,621,True,
6314987,Locavore,162,Philippines,Pasig City,Kapitolyo,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",121.056532,14.572041,True,Filipino,1,Botswana Pula(P),1100.0,,3,3 - Premium,True,False,False,4.8,True,True,Excellent,532,True,
6309903,Silantro Fil-Mex,162,Philippines,Pasig City,Kapitolyo,"75 East Capitol Drive, Kapitolyo, Pasig City",121.057916,14.567689,True,"Filipino, Mexican",2,Botswana Pula(P),800.0,,3,3 - Premium,False,False,False,4.9,True,True,Excellent,1070,True,
6309455,Mad Mark's Creamery & Good Eats,162,Philippines,Pasig City,Kapitolyo,"23 East Capitol Drive, Kapitolyo, Pasig City",121.06082,14.570849,True,"American, Ice Cream, Desserts",3,Botswana Pula(P),900.0,,3,3 - Premium,True,False,False,4.2,True,True,Very Good,488,True,
6318433,Silantro Fil-Mex,162,Philippines,Quezon City,"UP Town Center, Diliman, Quezon City","Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",121.075419,14.649503,True,"Filipino, Mexican",2,Botswana Pula(P),800.0,,3,3 - Premium,False,False,False,4.8,True,True,Excellent,294,True,
6310470,Guevarra's,162,Philippines,San Juan City,Addition Hills,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",121.0335917,14.59345,True,Filipino,1,Botswana Pula(P),1000.0,,3,3 - Premium,True,False,False,4.2,True,True,Very Good,458,True,
6314605,Sodam Korean Restaurant,162,Philippines,San Juan City,Little Baguio,"17 J. Abad Santos Drive, Little Baguio, San Juan City",121.03811,14.59889,True,Korean,1,Botswana Pula(P),700.0,,3,3 - Premium,False,False,False,4.3,True,True,Very Good,223,True,
18185059,Cafe Arabelle,162,Philippines,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",121.05704,14.237082,True,"Cafe, American, Italian, Filipino",4,Botswana Pula(P),800.0,,3,3 - Premium,False,False,False,3.6,True,False,Good,29,True,
18182702,Nonna's Pasta & Pizzeria,162,Philippines,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",121.0565874,14.23767897,True,"Italian, Pizza",2,Botswana Pula(P),850.0,,3,3 - Premium,False,False,False,4.0,True,True,Very Good,72,True,
6318213,Balay Dako,162,Philippines,Tagaytay City,Tagaytay City,"Aguinaldo Highway, Tagaytay City",120.951589,14.101834,True,Filipino,1,Botswana Pula(P),1200.0,,3,3 - Premium,True,False,False,4.5,True,True,Excellent,211,True,
18255654,Hobing Korean Dessert Cafe,162,Philippines,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",121.045878,14.55436,True,"Cafe, Korean, Desserts",3,Botswana Pula(P),600.0,,2,2 - Mid-range,False,False,False,4.5,True,True,Excellent,118,True,
6308205,Wildflour Cafe + Bakery,162,Philippines,Taguig City,Bonifacio Global City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",121.04622,14.549337,True,"Cafe, Bakery, American, Italian",4,Botswana Pula(P),1500.0,,4,4 - Luxury,True,False,False,4.4,True,True,Very Good,392,True,
6315438,NIU by Vikings,162,Philippines,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City",121.053725,14.545858,True,"Seafood, American, Mediterranean, Japanese",4,Botswana Pula(P),3000.0,,4,4 - Luxury,True,False,False,4.7,True,True,Excellent,535,True,
6310406,The Food Hall by Todd English,162,Philippines,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City",121.0534998,14.54565535,True,"American, Asian, Italian, Seafood",4,Botswana Pula(P),1800.0,,4,4 - Luxury,True,False,False,4.5,True,True,Excellent,618,True,
6600681,Chez Michou,30,Brazil,Brasí_lia,Asa Norte,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",-47.88178889,-15.76414167,True,"Fast Food, French",2,Brazilian Real(R$),55.0,,2,2 - Mid-range,False,False,False,3.0,True,False,Average,6,True,
6601005,Cafí© Daniel Briand,30,Brazil,Brasí_lia,Asa Norte,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",-47.88266667,-15.7775,True,Cafe,1,Brazilian Real(R$),30.0,,1,1 - Budget,False,False,False,3.8,True,False,Good,9,True,
6600292,Casa do Biscoito Mineiro,30,Brazil,Brasí_lia,Asa Norte,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",-47.88213611,-15.75747222,True,Bakery,1,Brazilian Real(R$),45.0,,2,2 - Mid-range,False,False,False,3.7,True,False,Good,11,True,
6600441,Maori,30,Brazil,Brasí_lia,Asa Norte,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",-47.88816667,-15.75883333,True,Brazilian,1,Brazilian Real(R$),60.0,,3,3 - Premium,False,False,False,3.8,True,False,Good,11,True,
